Product,Brand,description,Price,Offer,Offer_price,Reviews,Free_coupon,Coupon
Swiss Beauty  - CRAZE Duo 2 In 1 Satin Matte Finish Lipstick No...,Swiss Beauty ,CRAZE Duo 2 In 1 Satin Matte Finish Lipstick No...,299.0,10,269,641,No,Free gift
Milani Color  - Fetish Balm Lipstick,Milani Color ,Fetish Balm Lipstick,1250.0,5,1187,1045,No,No Gift
Renee Cosmetics  - Glam Stack 3 In 1 Lip & Cheek Tint,Renee Cosmetics ,Glam Stack 3 In 1 Lip & Cheek Tint,650.0,14,559,1478,No,No Gift
nd Zero  - Matte Lipstick,nd Zero ,Matte Lipstick,1374.0,0,1374,835,No,No Gift
Yves Saint  - Laurent Rouge Pur Couture The Slim Radical Lipsti...,Yves Saint ,Laurent Rouge Pur Couture The Slim Radical Lipsti...,1374.0,0,1374,39,No,No Gift
Swiss Beauty  - Soft Matte Lip Cream,Swiss Beauty ,Soft Matte Lip Cream,299.0,10,269,10845,No,Free gift
Chemist At  - Play Chocolate Tinted Lip Balm with SPF 50 PA++++...,Chemist At ,Play Chocolate Tinted Lip Balm with SPF 50 PA++++...,349.0,9,317,62,No,No Gift
Blue Heaven  - Intense Matte Lipstick,Blue Heaven ,Intense Matte Lipstick,100.0,10,90,10372,No,No Gift
Earth Rhythm  - Serum Lipstick,Earth Rhythm ,Serum Lipstick,449.0,25,336,435,No,No Gift
MARS Love  - Track Velvet Lip Tint,MARS Love ,Track Velvet Lip Tint,299.0,7,278,50,No,No Gift
Plum Matte  - In Heaven Liquid Lipstick,Plum Matte ,In Heaven Liquid Lipstick,499.0,15,424,4318,No,No Gift
Swiss Beauty  - Bold Matte Lips Liner Pencil Set Of 3 - 14 Bobb...,Swiss Beauty ,Bold Matte Lips Liner Pencil Set Of 3 - 14 Bobb...,1374.0,0,1374,47548,No,Free gift
Insight Cosmetics  - No Smudge Lip Color,Insight Cosmetics ,No Smudge Lip Color,270.0,5,256,1019,No,Free gift
Cosmetics O  - O Face Lipstick,Cosmetics O ,O Face Lipstick,1374.0,0,1374,645,No,No Gift
Baked Beauty  - Liquid Matte Lipstick Nude Palette - Pack of 9,Baked Beauty ,Liquid Matte Lipstick Nude Palette - Pack of 9,900.0,47,477,81,No,No Gift
Renee Cosmetics  - FAB5 5 in 1 Lipstick,Renee Cosmetics ,FAB5 5 in 1 Lipstick,750.0,25,562,9192,No,No Gift
Nykaa Cosmetics  - Get Set Matte! Demi Matte Lip Cream Liquid L...,Nykaa Cosmetics ,Get Set Matte! Demi Matte Lip Cream Liquid L...,1374.0,0,1374,18507,No,No Gift
Lakme Ultimate  - Glam Lip Liner,Lakme Ultimate ,Glam Lip Liner,270.0,10,243,2792,No,No Gift
Anastasia Beverly  - Hills Lip Velvet,Anastasia Beverly ,Hills Lip Velvet,1374.0,0,1374,14,No,No Gift
KIRO Glossfinity  - Creme Gloss,KIRO Glossfinity ,Creme Gloss,875.0,10,787,64,No,No Gift
MyGlamm Super  - 4 Liquid Lipstick Stack,MyGlamm Super ,4 Liquid Lipstick Stack,699.0,20,559,215,No,No Gift
Bobbi Brown  - Pot Rouge For Lips & Cheeks,Bobbi Brown ,Pot Rouge For Lips & Cheeks,1374.0,0,1374,355,No,Free gift
PAC Timeless  - Matte Liquid Lipstick,PAC Timeless ,Matte Liquid Lipstick,1374.0,0,1374,1591,No,No Gift
Maybelline New  - York Super Stay Matte Ink Liquid Lipstick - 3...,Maybelline New ,York Super Stay Matte Ink Liquid Lipstick - 3...,1374.0,0,1374,1823,No,No Gift
Nykaa Cosmetics  - Matte to Last Transferproof Long Lasting Liq...,Nykaa Cosmetics ,Matte to Last Transferproof Long Lasting Liq...,1350.0,20,1080,77456,No,No Gift
Simply Nam  - Sweet Kisses Lip Balm,Simply Nam ,Sweet Kisses Lip Balm,699.0,15,594,31,No,No Gift
Blue Heaven  - Silk & Stain Lip Stain,Blue Heaven ,Silk & Stain Lip Stain,299.0,18,245,4120,No,No Gift
